St Peter Port,GY1,49.45,-2.6
Sark,GY10,49.71,-2.2
St Sampsons,GY2,49.45,-2.6
Vale,GY3,49.45,-2.6
St Martin,GY4,49.45,-2.6
Castel,GY5,49.45,-2.6
Alderney,GY9,49.71,-2.2
